rank,movie_title,rating,year,star_cast,Director
98,North by Northwest,8.251054080285508,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",Alfred Hitchcock
99,Idi i smotri,8.249376722789608,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",Elem Klimov
10, Vertigo,8.246209261615187,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",Alfred Hitchcock
101,Le fabuleux destin d'Amélie Poulain,8.244022511132624,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",Jean-Pierre Jeunet
102,A Clockwork Orange,8.242348373208657,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",Stanley Kubrick
103,Double Indemnity,8.23928222645759,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",Billy Wilder
104,The Apartment,8.239155055682987,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",Billy Wilder
105,Full Metal Jacket,8.238855356038137,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",Stanley Kubrick
106,Ikiru,8.236190031704044,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",Akira Kurosawa
107,Scarface,8.235424234622005,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",Brian De
108,To Kill a Mockingbird,8.228053236168757,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",Robert Mulligan
109,The Sting,8.227994776943047,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",George Roy
110,Hamilton,8.225907324994166,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",Thomas Kail
111,Heat,8.224878575397495,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",Michael Mann
112,Taxi Driver,8.224692629344426,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",Martin Scorsese
113,Up,8.224670953006822,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",Pete Docter
114,Incendies,8.222465693337135,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",Denis Villeneuve
115,LA Confidential,8.22224098596599,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",Curtis Hanson
116,Jodaeiye Nader az Simin,8.221573328272259,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",Asghar Farhadi
117,Metropolis,8.220929042045432,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",Fritz Lang
118,Die Hard,8.21928248756631,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",John McTiernan
119,Snatch,8.219202518279511,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",Guy Ritchie
120,Ladri di biciclette,8.218063761297032,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",Vittorio De
121,Indiana Jones and the Last Crusade,8.217734150639226,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",Steven Spielberg
122,1917,8.211699295101033,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",Sam Mendes
123,Taare Zameen Par,8.210498981488966,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",Aamir Khan
124,Der Untergang,8.20413294825128,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",Oliver Hirschbiegel
